,Name,Country,Type,Year,Price,Rating,Review,Size,ABV
359, Gold Star Red Wine 2018 , USA , Red - Full bodied ,['2018'],£26.00,4.1/5,['46'], 750.00 ml , 14.5% ABV 
360, Long Live The King Cabernet Sauvignon 2021 , Australia , Red - Medium to full bodied ,['2021'],£11.99,3.8/5,['474'], 750.00 ml , 14.0% ABV 
361, Lobster Shack Chardonnay Viognier Chenin Blanc 2022 , South Africa , White - Medium Dry ,['2022'],£11.99,4.4/5,['332'], 750.00 ml , 13.5% ABV 
362, Le Trazzere di Don Pino Organic 2020 , Italy , White - Dry ,['2020'],£10.99,4.1/5,['46'], 750.00 ml , 12.5% ABV 
363, 30 Mile Shiraz 2019 , Australia , Red - Medium to full bodied ,"['30', '2019']",£11.99,4.0/5,['239'], 750.00 ml , 14.5% ABV 
364, South African Whites Six ,Read more," South African Whites Six Taste why South Africa’s super-fresh whites are so popular right now – just £7.99 a bottle “Gorgeous, often underpriced” (FT), the quality of South African wine has never been better. Led by a secret-label Sauvignon Blanc from premium Elgin (normally £14.99) and No.1 bestselling The Gooseberry Bush, this new lineup features some of our most in-demand Cape whites. Great value at just £7.99 a bottle. ",[],Not found,4.4,['332'], 750.00 ml , 13.5% ABV 
365, Provence Rose Six ,Read more," Provence Rose Six Elegant Provence rosés – SAVE £23 on this 6-bottle selection of classics There’s no need to pass on Provence pinks now that summer is behind us – any rosé aficionado will tell you that their rich strawberry aromas, citrusy flavours and savoury edge can be enjoyed all year round. And here’s a cracking case of customer favourites, including Gold-medal Domaine du Mas Ensoleillé. ",[],Not found,5.0,[], 750.00 ml , 12.5% ABV 
366, Rhone Mix ,Read more," Rhone Mix Richly warming reds from the southern Rhône – just £8.99 a bottle The Rhône is famed for its hearty, spicy reds and it’s also been called “the best value classic region in France” by wine writer Jane MacQuitty. This case shows why, and includes Gold-medal bestsellers like Willem the Silent and Cuvée de l’Oppidum, a Côtesdu-Rhône from a village cellar saved by a band of local growers. ",[],Not found,3.6,['59'], 750.00 ml , 14.0% ABV 
367, Le Grand Maré Touraine Sauvignon Blanc 2021 , France , White - Dry ,['2021'],£14.99,4.0/5,['42'], 750.00 ml , 12.0% ABV 
368, Château Les Aubitriés 2020 , France , Red - Medium Bodied ,['2020'],£13.99,4.5/5,[], 750.00 ml , 13.5% ABV 
369, Familia Martínez Bujanda Crianza Tempranillo 2017 , Spain , Red - Medium Bodied ,['2017'],£13.99,3.7/5,['51'], 750.00 ml , 14.0% ABV 
370, Picco Attila (187ml) 2019 , Italy , Red - Medium to full bodied ,"['187', '2019']",£2.99,3.0/5,[], 187.00 ml , 13.0% ABV 
371, d'Arenberg Thunderstep Shiraz 2020 , Australia , Red - Medium to full bodied ,['2020'],£22.00,5.0/5,[], 750.00 ml , 14.5% ABV 
372, Nelson Bay Sauvignon Blanc (187ml) 2020 , New Zealand , White - Dry ,"['187', '2020']",£3.29,3.0/5,[], 187.00 ml , 13.0% ABV 
373, Palacio de Menade Organic 2021 , Spain , White - Dry ,['2021'],£11.99,3.8/5,['182'], 750.00 ml , 13.0% ABV 
374, Amoras 2020 , Portugal , Red - Medium Bodied ,['2020'],£10.49,4.1/5,['686'], 750.00 ml , 13.0% ABV 
375, Taylor’s Late Bottled Vintage Port 2016 , Portugal , Touriga Nacional-based blend ,['2016'],£12.99,5.0/5,[], 750.00 ml , 20.0% ABV 
376, Riversong Carmenère 2021 , Chile , Red - Medium Bodied ,['2021'],£10.99,3.6/5,['269'], 750.00 ml , 13.0% ABV 
377, Valoroso Cabernet Touriga Nacional Syrah 2021 , Portugal , Red - Full bodied ,['2021'],£12.99,4.1/5,['380'], 750.00 ml , 14.5% ABV 
378, Salena Estate Black Label Barossa Valley Shiraz 2018 , Australia , Red - Full bodied ,['2018'],£17.49,/5,[], 750.00 ml , 14.5% ABV 
379, Mussel Pot Reserve Sauvignon Blanc 2021 , New Zealand , White - Dry ,['2021'],£18.99,4.5/5,['172'], 750.00 ml , 12.5% ABV 
380, Il Papavero 2.25 litre Wine Box NV , Italy , Red - Medium Bodied ,['25'],£21.00,3.8/5,['46'], 2250.00 ml , 12.5% ABV 
381, Journey's End Winemaker's Selection Chardonnay 2021 , South Africa , White - Dry ,['2021'],£14.49,3.7/5,['54'], 750.00 ml , 12.5% ABV 
382, L'Epiphanie de Sauternes (half bottle) 2018 , France , White - Very Sweet ,['2018'],£19.99,5.0/5,[], 375.00 ml , 14.5% ABV 
383, Spier Discover Cabernet Shiraz 2020 , South Africa , Red - Medium Bodied ,['2020'],£11.99,4.2/5,['17'], 750.00 ml , 14.5% ABV 
384, McPherson Family Series Pickles Sauvignon Blanc 2021 , Australia , White - Dry ,['2021'],£11.99,3.9/5,['168'], 750.00 ml , 11.5% ABV 
385, Château Saint-Bonnet Médoc Cru Bourgeois 2014 , France , Red - Medium Bodied ,['2014'],£14.99,3.0/5,[], 750.00 ml , 13.0% ABV 
386, Viña Nava Rosado 2020 , Spain , Rosé - Very Dry ,['2020'],£8.99,3.7/5,['107'], 750.00 ml , 13.5% ABV 
387, Portinho do Côvo 2020 , Portugal , Red - Medium Bodied ,['2020'],£9.99,4.0/5,['237'], 750.00 ml , 14.0% ABV 
388, Tierras de la Fuente Organic Airén Viura 2020 , Spain , White - Dry ,['2020'],£9.49,3.6/5,['75'], 750.00 ml , 12.0% ABV 
389, Loire Whites Six ,Read more," Loire Whites Six Elegant classics from the Loire Valley – just £8.99 a bottle Famed for its fairytale châteaux, gastronomy and slow-flowing waters, the Loire is also revered for its superb whites. Here you’ll enjoy two fine Muscadets from the Atlantic coast, while there’s a selection of Sauvignons (and more) from upstream, including a luxury edition of bestselling Abbesse (normally £15.99). ",[],Not found,3.9,['168'], 750.00 ml , 12.0% ABV 
390, Castillo Labastida Crianza 2019 , Spain , Red - Medium to full bodied ,['2019'],£14.99,4.0/5,[], 750.00 ml , 14.0% ABV 
391, Rioja Six ,Read more," Rioja Six Silky-smooth Rioja classics – just £8.99 a bottle Rioja is our customers’ favourite classic style. This collection includes oak-aged treasures like Castillo de Epifanía (from premium Rioja Alta vineyards), Pagos de Tahola and top-selling Barón de Barbón, alongside vibrant unoaked styles. All are perfect with grilled lamb chops ... exceptional value for the quality. ",[],Not found,3.5,['36'], 750.00 ml , 14.5% ABV 
392, Clearance Mixed Miniatures ,Read more, Clearance Mixed Miniatures Clearance deal! Customer favourite wines in handy 187ml bottles – bin end price Miniature 187ml bottles are perfect for when one glass is just enough. This mixed case features the last stocks of some really great wines in this handy size – a range of popular reds and whites priced to clear. Great for light lunches and ideal if you want to hold a mini tasting. Lots different of options without the usual leftovers from opening a range of normal-sized bottles. See below for the current case contents. ,[],Not found,3.7,[], 187.00 ml , 12.5% ABV 
393, Fili Prosecco NV , Italy , White - Dry ,[],£16.49,4.5/5,['190'], 750.00 ml , 11.5% ABV 
394, Clarendelle Inspired by Haut-Brion Rosé 2021 , France , Rosé - Dry ,['2021'],£16.99,4.3/5,['19'], 750.00 ml , 12.5% ABV 
395, Alta Cima Gewurztraminer 2021 , Chile , White - Dry ,['2021'],£12.99,/5,[], 750.00 ml , 14.0% ABV 
396, Barón de Barbón Gran Reserva 2014 , Spain , Red - Medium to full bodied ,['2014'],£19.99,4.4/5,['34'], 750.00 ml , 14.0% ABV 
397, Prezza Prosecco Rosé 2020 , Italy , Rosé - Dry ,['2020'],£14.99,4.2/5,['36'], 750.00 ml , 11.0% ABV 
398, The Boar No More (zero alcohol) 2020 , Germany , White - Dry ,['2020'],£6.99,2.8/5,['25'], 750.00 ml , 0.05% ABV 
399, The Swashbuckler Pinotage 2021 , South Africa , Red - Medium to full bodied ,['2021'],£11.49,3.7/5,['317'], 750.00 ml , 14.0% ABV 
400, South Ridge Cuvée Merret Rosé 2018 , Great Britain , Rosé - Very Dry ,['2018'],£24.99,/5,[], 750.00 ml , 12.0% ABV 
401, Excelsior Heritage Reserve Cabernet Sauvignon 2020 , South Africa , Red - Medium to full bodied ,['2020'],Not found,4.2/5,['38'], 750.00 ml , 14.5% ABV 
402, Daisy and the Tambourine Man Coonawarra Cabernet Shiraz 2021 , Australia , Red - Full bodied ,['2021'],£14.49,4.2/5,['10'], 750.00 ml , 14.0% ABV 
403, Domaine Michel Thomas Sancerre Rouge 2020 , France , Red - Light to Medium Bodied ,['2020'],£19.99,/5,[], 750.00 ml , 13.5% ABV 
404, Mimmo Rosso 2021 , Italy , Red - Full bodied ,['2021'],£11.99,5.0/5,[], 750.00 ml , 13.5% ABV 
405, RedHeads The Red Sedan Cabernet Sauvignon Shiraz 2020 , Australia , Red - Full bodied ,['2020'],£13.99,3.6/5,['43'], 750.00 ml , 14.5% ABV 
406, Fire & Foal Merlot 2021 , South Africa , Red - Medium to full bodied ,['2021'],£9.99,3.4/5,['54'], 750.00 ml , 14.0% ABV 
407, Shot in The Dark Cabernet Shiraz 2019 , Australia , Red - Medium Bodied ,['2019'],£11.99,4.1/5,['479'], 750.00 ml , 14.0% ABV 
408, Stones & Bones 3 litre Wine Box 2019 , Portugal , Red - Full bodied ,['2019'],£30.00,4.8/5,[], 3000.00 ml , 14.0% ABV 
409, Fluette Gamay 2020 , France , Red - Medium Bodied ,['2020'],£11.99,4.2/5,['13'], 750.00 ml , 12.0% ABV 
410, Clos des Fous Arenaria Pinot Noir 2018 , Chile , Red - Medium Bodied ,['2018'],Not found,5.0/5,[], 750.00 ml , 15.0% ABV 
411, The Velvet Bee 2021 , South Africa , Red - Medium to full bodied ,['2021'],£10.99,3.5/5,['60'], 750.00 ml , 14.0% ABV 
412, Les Belons 2020 , France , White - Dry ,['2020'],£11.99,4.1/5,['260'], 750.00 ml , 12.0% ABV 
413, Rex Mundi Shiraz Grenache (187ml) 2021 , France , Red - Medium to full bodied ,"['187', '2021']",£2.99,4.5/5,['27'], 187.00 ml , 13.0% ABV 
414, Belle Roche Cabernet Sauvignon 2021 , France , Red - Medium to full bodied ,['2021'],£12.49,4.3/5,['266'], 750.00 ml , 13.5% ABV 
415, Il Papavero Bianco NV , Italy , White - Dry ,[],£8.99,3.5/5,['149'], 750.00 ml , 12.0% ABV 
416, Cuvée de l’Oppidum Rouge 2020 , France , Red - Medium Bodied ,['2020'],£10.99,3.6/5,['59'], 750.00 ml , 14.0% ABV 
417, Palumbo Riserva 2012 , Italy , Red - Full bodied ,['2012'],£16.99,4.8/5,[], 750.00 ml , 13.5% ABV 
418, Château Ramage La Batisse 2015 , France , Red - Medium Bodied ,['2015'],£27.00,3.5/5,['38'], 750.00 ml , 12.5% ABV 
419, Italian Reds Six ,Read more," Italian Reds Six Rich warming reds from the ‘land of the vine’ – JUST £7.99 a bottle So juicy, smooth and flavoursome – and the perfect partners to all those classic every day Italian dishes we Brits have taken to our hearts! Highlights include Dino Taschetta’s original ‘earthquake red’ and Il Papavero, a bestseller for over 25 years now. ",[],Not found,4.0,['93'], 750.00 ml , 12.5% ABV 
420, Nespolino Sangiovese 2020 , Italy , Red - Light to Medium Bodied ,['2020'],£9.99,3.6/5,['100'], 750.00 ml , 12.5% ABV 
421, Château la Motte Sicard 2018 , France , Red - Medium to full bodied ,['2018'],£14.99,2.5/5,['12'], 750.00 ml , 13.5% ABV 
422, La Nantaise Réserve (187ml) 2020 , France , White - Dry ,"['187', '2020']",£3.79,/5,[], 187.00 ml , 12.0% ABV 
423, La Rioja Alta Viña Ardanza Reserva 2015 , Spain , Red - Medium to full bodied ,['2015'],£27.00,4.6/5,[], 750.00 ml , 14.5% ABV 
424, Champagne Louis Roederer Collection 242 (in gift box) NV , France , White - Dry ,['242'],£44.99,/5,[], 750.00 ml , 12.0% ABV 
425, Maria Fadista Rosé 2021 , Portugal , Rosé - Dry ,['2021'],£9.99,3.8/5,['21'], 750.00 ml , 12.0% ABV 
426, Chapoutier Vignes de Bila-Haut Blanc 2020 , France , White - Dry ,['2020'],£14.99,5.0/5,[], 750.00 ml , 13.5% ABV 
427, Selva del Moro Organic Chianti Classico 2020 , Italy , Red - Medium to full bodied ,['2020'],£16.99,/5,[], 750.00 ml , 14.0% ABV 
428, Andresen Fine Ruby Port NV , Portugal , Red - Medium Bodied ,[],£14.99,4.3/5,['66'], 750.00 ml , 19.5% ABV 
429, Don Aldo Olivier Pedro Ximénez Chardonnay 2021 , Chile , White - Dry ,['2021'],£9.99,3.7/5,['43'], 750.00 ml , 12.5% ABV 
430, Le Tarral Montpeyroux 2018 , France , Red - Medium Bodied ,['2018'],£16.99,/5,[], 750.00 ml , 13.5% ABV 
431, Portinho do Côvo Branco 2020 , Portugal , White - Dry ,['2020'],£9.99,3.8/5,['155'], 750.00 ml , 13.0% ABV 
432, Storks Landing Rosé 2020 , Portugal , Rosé - Dry ,['2020'],£10.99,4.3/5,[], 750.00 ml , 12.0% ABV 
433, Antawara Reserva Merlot 2019 , Chile , Red - Medium to full bodied ,['2019'],£11.99,/5,[], 750.00 ml , 13.5% ABV 
434, Campanula Chardonnay 2021 , Hungary , White - Dry ,['2021'],£9.99,3.8/5,['128'], 750.00 ml , 13.0% ABV 
435, Stéphane Ogier Le Temps Est Venu Côtes du Rhône 2020 , France , Red - Medium to full bodied ,['2020'],£14.99,3.6/5,[], 750.00 ml , 14.5% ABV 
436, Champagne Decelle Frères Brut Gift ,Read more, Champagne Decelle Frères Brut Gift ,[],£19.99,4.0,['12'], 750.00 ml , 12.0% ABV 
437, Luminoso Leggero Frizzante Prosecco NV , Italy , White - Dry ,[],£9.99,/5,[], 750.00 ml , 11.5% ABV 
438, Don Cayetano Cabernet Merlot Rosado 2021 , Chile , Rosé - Very Dry ,['2021'],£8.99,4.0/5,['61'], 750.00 ml , 12.0% ABV 
439, Harrow & Hope Brut Reserve No 6 NV , Great Britain , White - Dry ,[],£30.00,4.5/5,[], 750.00 ml , 12.0% ABV 
440, Viña Bujanda Tinto Joven 2020 , Spain , Red - Full bodied ,['2020'],£11.99,3.9/5,['10'], 750.00 ml , 12.5% ABV 
441, Segredos de São Miguel Reserva 2019 , Portugal , Red - Medium to full bodied ,['2019'],£14.99,4.0/5,['17'], 750.00 ml , 14.0% ABV 
442, Alpha Domus Merlot Cabernet Collection 2017 , New Zealand , Red - Medium to full bodied ,['2017'],£16.99,/5,[], 750.00 ml , 12.5% ABV 
443, Pink Duck Rosé (187ml) 2021 , Australia , Rosé - Dry ,"['187', '2021']",£2.99,/5,[], 187.00 ml , 12.5% ABV 
444, Split Rock Sauvignon Blanc 2022 , New Zealand , White - Dry ,['2022'],£13.99,4.1/5,['1470'], 750.00 ml , 12.0% ABV 
445, Alma Andina Torrontés 2021 , Argentina , White - Dry ,['2021'],£11.49,3.7/5,['244'], 750.00 ml , 12.5% ABV 
446, Un Vent de Folie 2020 , France , Red - Full bodied ,['2020'],£15.49,4.0/5,['115'], 750.00 ml , 14.5% ABV 
447, Roche Bellemont Blanc 2021 , France , White - Dry ,['2021'],£16.99,4.5/5,['44'], 750.00 ml , 12.5% ABV 
448, Jean Cavaillé Apremont Cep Noir Vieilles Vignes 2019 , France , White - Dry ,['2019'],£16.49,4.1/5,['11'], 750.00 ml , 12.0% ABV 
449, La Chiamata Trebbiano 2020 , Italy , White - Dry ,['2020'],£11.49,4.1/5,['160'], 750.00 ml , 12.0% ABV 
450, Pink Duck Rosé 2021 , Australia , Rosé - Dry ,['2021'],£10.99,3.9/5,['39'], 750.00 ml , 12.5% ABV 
451, Château d'Aurilhac Cru Bourgeois 2011 , France , Red - Medium Bodied ,['2011'],£19.99,3.1/5,['30'], 750.00 ml , 13.0% ABV 
452, The Barbarian Semillon Chardonnay 2021 , Australia , White - Dry ,['2021'],£8.99,3.6/5,['75'], 750.00 ml , 12.5% ABV 
453, L'Épiphanie de Saint-Émilion Grand Cru 2019 , France , Red - Full bodied ,['2019'],£40.00,3.7/5,['11'], 750.00 ml , 14.5% ABV 
454, Alessandro Gallici Prosecco Anniversario 2021 , Italy , White - Dry ,['2021'],£18.99,4.4/5,['98'], 750.00 ml , 11.0% ABV 
455, Roc Saint Constant 2020 , France , Red - Full bodied ,['2020'],£12.99,3.5/5,['101'], 750.00 ml , 14.0% ABV 
456, Albastrele Chardonnay 2020 , Moldova , White - Dry ,['2020'],£10.99,3.3/5,['55'], 750.00 ml , 13.0% ABV 
457, Marie & Sylvie Les Deux Sœurs NV , France , White - Dry ,[],£13.99,3.9/5,['38'], 750.00 ml , 12.5% ABV 
458, Casa Silva Terroir de Familia Reserva Pinot Noir 2020 , Chile , Red - Light to Medium Bodied ,['2020'],£14.49,3.9/5,['11'], 750.00 ml , 14.0% ABV 
459, Bellemore Family Selection Pinotage 2018 , South Africa , Red - Full bodied ,['2018'],£17.99,4.3/5,['30'], 750.00 ml , 14.0% ABV 
460, Prezza Prosecco Spumante NV , Italy , White - Dry ,[],£14.99,3.6/5,[], 750.00 ml , 11.0% ABV 
461, Alpha Domus Syrah Collection 2019 , New Zealand , Red - Medium to full bodied ,['2019'],£16.99,/5,[], 750.00 ml , 13.0% ABV 
462, Domdechant Werner Hochheimer Riesling Classic 2020 , Germany , White - Medium Dry ,['2020'],£17.99,3.8/5,['23'], 750.00 ml , 12.0% ABV 
463, Mystery Case - Rosé ,Click here," Mystery Case - Rosé Ever-popular Mystery Cases in rosé – just £7.49 a bottle With 12 delicious wines to discover in every case, Mystery Cases are perfect for wine explorers. The possibilities are endless and the savings are guaranteed, with some special wines for you to find. And now they’re available in pink – yes, rosé lovers can now experience the thrill of opening a Mystery Case and finding what treats await inside. It could be a rosé from Provence or the Loire. Or it could be a rosé from elsewhere in Europe, Australia or even California. Whatever’s in your case, they’re all just £7.49 a bottle, guaranteeing you a saving of £53. ",[],Not found,Not found,Not found,Not found,Not found
464, L'Epiphanie de Margaux 2019 , France , Red - Medium Bodied ,['2019'],£35.00,4.1/5,['24'], 750.00 ml , 14.5% ABV 
465, Roche Bellemont Rosé 2021 , France , Rosé - Dry ,['2021'],£16.99,4.2/5,['106'], 750.00 ml , 12.5% ABV 
466, Madame F Rosé QB 2020 , France , Rosé - Dry ,['2020'],£11.99,4.3/5,[], 750.00 ml , 12.0% ABV 
467, Danaris Blauer Zweigelt 2020 , Austria , Red - Light to Medium Bodied ,['2020'],£13.49,3.5/5,['81'], 750.00 ml , 13.0% ABV 
468, The Black Stump Premium Durif 2021 , Australia , Red - Full bodied ,['2021'],£16.99,4.0/5,['35'], 750.00 ml , 14.5% ABV 
469, Domaine Martin Plan de Dieu Côtes du Rhône-Villages 2019 , France , Red - Medium Bodied ,['2019'],£14.99,3.7/5,[], 750.00 ml , 14.5% ABV 
470, Bordeaux Six ,Read more," Bordeaux Six Great value Bordeaux from under-the-radar estates – just £8.99 a bottle With over 8,000 wine-producing châteaux in Bordeaux, finding the really good stuff is tricky. But we’ve got over 50 years’ experience and a buying office in France’s most famous region, so we’ve finessed the art of finding the hidden gems that offer the best quality for the price, like this collection of clarets, many with Golds. ",[],Not found,4.5,[], 750.00 ml , 13.5% ABV 
471, Hacienda de Lluna Cabernet Sauvignon 2021 , Spain , Red - Medium Bodied ,['2021'],£9.99,3.5/5,['81'], 750.00 ml , 14.0% ABV 
472, White Duck Chardonnay Pinot Grigio (187ml) 2021 , Australia , White - Dry ,"['187', '2021']",£3.49,3.7/5,[], 187.00 ml , 12.5% ABV 
473, The Chocolate Block 2020 , South Africa , Red - Medium to full bodied ,['2020'],£21.99,/5,[], 750.00 ml , 14.5% ABV 
474, Il Papavero Pinot Grigio (half bottle) 2020 , Italy , White - Dry ,['2020'],£5.49,4.0/5,[], 375.00 ml , 12.0% ABV 
475, RedHeads Harmonie Rox Chardonnay 2021 , Australia , White - Dry ,['2021'],£14.49,4.2/5,['31'], 750.00 ml , 13.5% ABV 
476, Rhone Six ,Read more," Rhone Six Richly warming reds from the southern Rhône – just £8.99 a bottle The Rhône is famed for its hearty, spicy reds and it’s also been called “the best value classic region in France” by wine writer Jane MacQuitty. This case shows why, and includes Gold-medal bestsellers like Willem the Silent and Cuvée de l’Oppidum, a Côtesdu-Rhône from a village cellar saved by a band of local growers. ",[],Not found,3.6,['59'], 750.00 ml , 14.0% ABV 
477, Picco Attila 2020 , Italy , Red - Full bodied ,['2020'],£11.99,3.9/5,['175'], 750.00 ml , 13.0% ABV 
478, Fine Wine Clearance Six Reds ,Read more," Fine Wine Clearance Six Reds Experience some of world’s finest reds at limited-time clearance prices There’s nothing like the heady pleasure of slowly uncorking something truly special and taking that first sip. It’s a thrill that only the finest wine can offer. Such an experience normally comes at a cost … but not today! A busy few months has left us with lots of end-of-line stock that needs tidying FAST. With this clearance 6-bottle case we can do just that … and you get to enjoy some of the world’s most elite reds at seriously knock-down prices. You can see the current lineup below – but please hurry, by their very nature these fine wine bin ends are in very limited supply. ",[],Not found,3.7,[], 750.00 ml , 14.0% ABV 
479, Eden Grove Shiraz 2019 , Australia , Red - Medium Bodied ,['2019'],£10.99,3.5/5,['1297'], 750.00 ml , 13.5% ABV 
480, Santa Julia Malbec 2021 , Argentina , Red - Medium to full bodied ,['2021'],£12.99,3.6/5,['77'], 750.00 ml , 13.5% ABV 
481, White Duck Chardonnay Pinot Grigio 2021 , Australia , White - Dry ,['2021'],£11.99,4.1/5,['145'], 750.00 ml , 12.5% ABV 
482, Pfaffl HAIDEN Grüner Veltliner 2021 , Austria , White - Dry ,['2021'],£17.99,5.0/5,[], 750.00 ml , 13.0% ABV 
483, Erta e China Rosso 2019 , Italy , Red - Full bodied ,['2019'],£14.49,3.9/5,['51'], 750.00 ml , 14.0% ABV 
484, Merlot Six ,Read more," Merlot Six Enjoy the world’s silkiest style of red for just £7.49 a bottle As smooth as 007 in a silk dinner jacket, Merlot is also the grape behind the world-famous clarets of Saint-Emilion. But you don’t have to spend a fortune to enjoy the magic of Merlot. This case boasts melt-in-the-mouth, plummy stars from Chile, Australia, Italy and beyond – all for a great-value £7.49 a bottle. ",[],Not found,3.8,['382'], 750.00 ml , 14.5% ABV 
485, Maison Joseph Drouhin Givry 2018 , France , Red - Medium Bodied ,['2018'],£21.00,4.2/5,[], 750.00 ml , 13.0% ABV 
486, Brass Monkey Shiraz 2020 , Australia , Red - Medium to full bodied ,['2020'],£11.99,3.5/5,['584'], 750.00 ml , 13.5% ABV 
487, Château Beauvillage Cru Bourgeois 2018 , France , Red - Medium to full bodied ,['2018'],Not found,4.3/5,['13'], 750.00 ml , 14.5% ABV 
488, Trimboli Salvatore Trebbiano (187ml) 2021 , Australia , White - Dry ,"['187', '2021']",£3.49,4.0/5,[], 187.00 ml , 13.0% ABV 
489, Amancaya Malbec Cabernet Sauvignon 2018 , Argentina , Red - Full bodied ,['2018'],£19.49,4.6/5,['14'], 750.00 ml , 14.5% ABV 
490, Elephant Tree Malbec 2021 , South Africa , Red - Medium Bodied ,['2021'],£10.49,4.0/5,[], 750.00 ml , 13.5% ABV 
491, Admiral Thomas Carmenère 2021 , Chile , Red - Medium to full bodied ,['2021'],£9.99,3.4/5,['168'], 750.00 ml , 13.0% ABV 
492, Aluado Alicante Bouschet (187ml) 2020 , Portugal , Red - Full bodied ,"['187', '2020']",£3.29,5.0/5,[], 187.00 ml , 13.0% ABV 
493, Vignerons de Bel Air Brouilly 2020 , France , Red - Light to Medium Bodied ,['2020'],£15.99,4.3/5,['23'], 750.00 ml , 14.0% ABV 
494, Château Moulin du Prieur 2020 , France , Red - Medium to full bodied ,['2020'],£12.99,3.5/5,['61'], 750.00 ml , 14.5% ABV 
495, Essentials Whites ,Read more," Essentials Whites The whites you can rely on at a moment’s notice … easy-going essentials JUST £6.99 a bottle Every wine rack needs great-value, easy-drinking wines you can rely on again and again. That’s where our Essentials cases come into their own. Here you have a refreshing Sauvignon, a zesty Italian white, and a crisp Portuguese favourite … all for just £6.99 a bottle. ",[],Not found,3.8,['124'], 750.00 ml , 12.0% ABV 
496, Domaine Michel Thomas Sancerre 2021 , France , White - Dry ,['2021'],£19.99,4.3/5,[], 750.00 ml , 12.5% ABV 
497, Domaine d'Estienne Rosé 2021 , France , Rosé - Dry ,['2021'],£14.99,4.6/5,['43'], 750.00 ml , 12.5% ABV 
498, Château Les Moutins 2020 , France , White - Dry ,['2020'],£14.99,4.6/5,[], 750.00 ml , 12.5% ABV 
499, Loose Cannon Bombshell NV , Great Britain , Great Britain ,[],£2.25,4.2/5,['35'], 500.00 ml , 4.2% ABV 
500, Premier Bain Rouge 2020 , France , Red - Light to Medium Bodied ,['2020'],£10.99,3.9/5,['14'], 750.00 ml , 13.0% ABV 
501, Hunter's Miru Miru Brut NV , New Zealand , White - Dry ,[],£19.99,4.5/5,[], 750.00 ml , 11.5% ABV 
502, Château de Dracy Bourgogne Rouge 2020 , France , Red - Medium Bodied ,['2020'],£17.99,3.9/5,['17'], 750.00 ml , 13.0% ABV 
503, Rainha do Mar Fernão Pires 2021 , Portugal , White - Dry ,['2021'],£8.99,3.8/5,['124'], 750.00 ml , 12.0% ABV 
504, Don Cayetano Cabernet Sauvignon 2021 , Chile , Red - Full bodied ,['2021'],£8.99,3.3/5,['462'], 750.00 ml , 13.0% ABV 
505, Copa Real Tinto 2021 , Spain , Red - Medium to full bodied ,['2021'],£8.99,3.4/5,['130'], 750.00 ml , 13.0% ABV 
506, Perla del Mar 2021 , Spain , White - Dry ,['2021'],£11.99,3.9/5,['204'], 750.00 ml , 12.0% ABV 
507, Cabalié Cuvée Vieilles Vignes (187ml) 2021 , France , Red - Medium to full bodied ,"['187', '2021']",£3.99,4.3/5,[], 187.00 ml , 13.0% ABV 
508, South Ridge Cuvée Merret 2017 , Great Britain , White - Very Dry ,['2017'],£24.99,3.9/5,[], 750.00 ml , 12.0% ABV 
509, Hunter's Home Block Sauvignon Blanc 2021 , New Zealand , White - Very Dry ,['2021'],£22.00,4.9/5,['27'], 750.00 ml , 13.5% ABV 
510, Törley Estate Cuvée Bálo 2020 , Hungary , White - Dry ,['2020'],£9.99,3.4/5,[], 750.00 ml , 12.0% ABV 
511, 5-star Bestsellers Whites ,Read more, 5-star Bestsellers Whites Crowd-pleasing white favourites from just £7.99 a bottle Boasting knockout flavours ... rave reviews ... and repeat orders galore. These are the crown jewels of our cellar. You can be sure that every wine in this mix delivers the kinds of irresistible flavours that just make you want to keep sipping. Ultra-fresh whites perfect delivering refreshment on every sip – enjoy the lot today from JUST £7.99 a bottle when take two cases plus FREE delivery. ,[],Not found,3.8,['1670'], 750.00 ml , 12.0% ABV 
512, Ocelli Adelaide Hills Chardonnay 2021 , Australia , White - Dry ,['2021'],£13.99,4.4/5,[], 750.00 ml , 13.0% ABV 
513, Cleanskin Limestone Coast Sauvignon Blanc 2020 , Australia , White - Dry ,['2020'],£16.99,4.0/5,['23'], 750.00 ml , 11.0% ABV 
514, Andresen 10-year-old White Port (50cl) NV , Portugal , White - Luscious ,"['10', '50']",£15.99,4.3/5,['106'], 500.00 ml , 20.0% ABV 
515, Clos de los Siete 2018 , Argentina , Red - Medium Bodied ,['2018'],£18.99,/5,[], 750.00 ml , 14.5% ABV 
516, Altos R Pigeage Blanco 2019 , Spain , White - Dry ,['2019'],£23.00,4.4/5,['25'], 750.00 ml , 14.5% ABV 
517, Château Chantalouette Pomerol 2016 , France , Red - Full bodied ,['2016'],£29.00,/5,[], 750.00 ml , 13.5% ABV 
518, 14/27 Agiorgitiko 2019 , Greece , Red - Medium to full bodied ,"['14', '27', '2019']",£14.99,/5,[], 750.00 ml , 12.0% ABV 
519, Les Trois Oratoires (3 litre Bag-in-Box) 2021 , France , Red - Medium Bodied ,['2021'],£34.00,/5,[], 3000.00 ml , 13.0% ABV 
520, Cala Rey Verdejo Sauvignon Blanc 2021 , Spain , White - Dry ,['2021'],£11.99,3.5/5,['23'], 750.00 ml , 12.0% ABV 
